"","app_date","applicantID","loan_sequence","disp_date","twoDigits_zip","addrZip","clientID","addrCity","Latitude","Longtiude","repayStatus","delinqDays","age","appGender","appCivilStatus","appDependents","appIncome","requestedAmt_loan1","requestedTerm_loan1","actualAmt_loan1","actualTerm_loan1","scoreProxy","starting_state","game_count","game_dummy","stadium","nn.dists","lat","long","dif_metric","nn.dists.sq","check","obs","meters","mi","near_club_1","near_club_med","near_club_mean","near_club_3","loan_rt","weekday","month","city","game","Final Comp","near_club_1_game_st","near_club_med_game_st","near_club_mean_game_st","near_club_3_game_st"
"55",2018-11-22,103224,3,2018-11-22,"97",97277,102008,"MERIDA",20.853,-89.5979,"1",0,21,"1","single",1,5000,1500,15,1500,15,NA,100,0,0,3,6.74201320823388,19.1643,-96.125,45.4547421000001,45.4547421000001,0,55,708069.177195952,439.974882371626,0,0,0,0,0.3,"5","11",NA,0,NA,0,0,0,0
"56",2018-11-22,103226,1,2018-11-23,"71",71230,75295,"Santa cruz xoxocotlan",17.0129,-96.7352,"1",0,36,"1","married",0,9000,1500,22,1500,22,"1",100,0,0,3,2.23626161260261,19.1643,-96.125,5.00086600000002,5.00086600000002,-8.88178419700125e-16,56,248043.174050056,154.127265866788,0,0,0,0,0.166666666666667,"5","11",NA,0,NA,0,0,0,0
"57",2018-11-22,103230,1,2018-11-22,"89",89560,19772,"Cd Madero",22.2795,-97.8284,"1",0,39,"1","single",1,8000,1500,23,1500,23,"2",100,0,0,16,2.36401753377592,20.1052,-98.7563,5.58857889999998,5.58857889999998,-8.88178419700125e-16,57,260495.43777596,161.864763055638,0,0,0,0,0.1875,"5","11",NA,0,NA,0,0,0,0
"58",2018-11-22,103232,1,2018-11-22,"68",68313,126612,"San Juan Bautista Tuxtepec",17.8403,-95.8925,"1",0,46,"0","married",3,7000,2000,9,1500,9,"1",100,0,0,3,1.3442589966223,19.1643,-96.125,1.80703225000001,1.80703225000001,-2.22044604925031e-16,58,149416.533041521,92.8433600367359,0,0,0,1,0.214285714285714,"5","11",NA,0,NA,0,0,0,0
"59",2018-11-22,103238,1,2018-11-22,"94",94477,126610,"Fortv<U+2260>n",18.9018,-96.9706,"1",0,47,"0","single",0,13990,3000,15,2500,12,"2",100,0,0,3,0.885407030692668,19.1643,-96.125,0.783945610000007,0.783945610000007,0,59,93660.5448276087,58.1981090556431,0,0,1,1,0.178699070764832,"5","11",NA,0,NA,0,0,0,0
"60",2018-11-22,103246,1,2018-11-22,"23",23477,126640,"Los Cabos",22.9077,-109.7532,"1",0,29,"0","married",1,28000,3000,30,2000,30,"2",100,0,0,12,6.67280144841731,20.6818,-103.4626,44.5262791700002,44.5262791700002,0,60,695726.443771117,432.305444325697,0,0,0,0,0.0714285714285714,"5","11",NA,0,NA,0,0,0,0
"61",2018-11-22,103257,2,2018-11-22,"67",67190,49799,"guadalupe",25.651,-100.2057,"0",336,33,"0","married",2,9000,2500,13,1500,13,NA,100,0,0,8,0.0424414891350512,25.6682,-100.2445,0.00180128000000067,0.00180128000000067,-2.16840434497101e-19,61,4338.598781817,2.69588699828315,1,1,1,1,0.166666666666667,"5","11",NA,0,NA,0,0,0,0
"62",2018-11-22,103268,1,2018-11-22,"54",54090,15094,"TLALNEPANTLA",19.5099,-99.1701,"1",0,65,"0","married",1,8400,2000,30,2000,30,"3",100,0,0,6,0.179366691445203,19.3319,-99.1922,0.0321724099999988,0.0321724099999988,0,62,19950.2451686155,12.3965384372572,0,1,1,1,0.238095238095238,"5","11",NA,0,NA,0,0,0,0
"63",2018-11-22,103274,1,2018-11-22,"63",63195,38519,"Tepic",21.4587,-104.8199,"1",0,52,"1","married",1,16000,1500,30,1500,30,"2",100,0,0,12,1.56391716532559,20.6818,-103.4626,2.44583690000003,2.44583690000003,4.44089209850063e-16,63,165401.463690001,102.77596013894,0,0,0,1,0.09375,"5","11",NA,0,NA,0,0,0,0
"64",2018-11-22,103279,1,2018-11-22,"67",67485,125874,"Cadereyta Jimv©nez",25.4036,-99.9142,"1",0,53,"0","married",2,15000,2000,22,1500,22,"1",100,0,0,8,0.423215370703859,25.6682,-100.2445,0.179111250000004,0.179111250000004,-2.77555756156289e-17,64,44365.7498695515,27.567667409964,0,0,1,1,0.1,"5","11",NA,0,NA,0,0,0,0
